ID,Day,Month,Hour,Minutes,lat,lon,Area,SplitParentID,MergeParentID, MergeChldArea,MinT,CoreArea,AvgT
1,1,6,0,0,-7.6,88.6,14635.6971514841,0,0,0,197.229851923626,14635.6971514841,204.494468512422
1,1,6,0,30,-7.7,88.7,12866.5484348568,0,0,0,201.409497240564,12866.5484348568,205.339144187395
1,1,6,1,0,-7.7,88.8,5940.50506101973,0,0,0,203.501959408516,5940.50506101973,206.039989403324
1,1,6,1,30,-7.6,88.7,2696.8364305389,0,0,0,203.966215019129,2696.8364305389,206.502253928484
1,1,6,2,0,-7.6,88.7,0,0,0,0,203.966215019129,2696.8364305389,206.502253928484
2,1,6,0,0,-6.9,89.8,2116.09008765069,0,0,0,204.271200368598,2116.09008765069,206.154215128713
2,1,6,0,30,-6.9,89.8,0,0,0,0,204.271200368598,2116.09008765069,206.154215128713
3,1,6,0,0,8.6,74.9,7147.53593174805,0,0,0,199.256182572494,7147.53593174805,203.96583988599
3,1,6,0,30,8.6,74.9,7216.07446157119,0,0,0,201.193951852572,7216.07446157119,204.648563136111
3,1,6,1,0,8.7,74.6,5280.9370554812,0,0,0,202.573026285646,5280.9370554812,205.984865619937
3,1,6,1,30,8.7,74.6,2474.01691444311,0,0,0,203.114025017811,2474.01691444311,205.482881317692
3,1,6,2,0,8.8,74.4,2006.50559294604,0,0,0,204.806310422546,2006.50559294604,206.421736560436
3,1,6,2,30,8.8,74.4,0,0,0,0,204.806310422546,2006.50559294604,206.421736560436
4,1,6,0,0,12.1,83.2,86478.3281920601,0,0,0,188.628160871561,86478.3281920601,201.121078953785
4,1,6,0,30,12.2,82.9,78032.664634403,0,0,0,188.670501708984,78032.664634403,201.17343378994
4,1,6,1,0,12.3,82.6,71597.5412449273,0,0,0,189.552659083581,71597.5412449273,200.965687921664
4,1,6,1,30,12.4,82.2,74536.8745333709,0,0,0,188.3382368501,74536.8745333709,198.990300068104
4,1,6,2,0,12.6,82,87178.1806127787,0,0,0,188.79944994352,87178.1806127787,198.337270172726
4,1,6,2,30,12.6,81.9,100880.81538245,0,0,0,188.621911847872,100880.81538245,198.468765083896
4,1,6,3,0,12.6,81.8,112033.386968419,0,0,0,189.647687180321,112033.386968419,199.967346005324
4,1,6,3,30,12.6,81.9,116235.39404047,0,0,0,192.740897194409,116235.39404047,201.517651411463
4,1,6,4,0,12.6,81.9,110349.095148313,0,0,0,193.594546720197,110349.095148313,203.148187307803
4,1,6,4,30,12.7,82,90653.926763971,0,0,0,197.118378207138,90653.926763971,204.508625653234
4,1,6,5,0,13,81.8,58001.6149342761,0,0,0,199.330725490932,58001.6149342761,205.167418345216
4,1,6,5,30,13.8,81.5,31779.0145979537,0,0,0,198.351791192237,31779.0145979537,204.549080949003
4,1,6,6,0,13.8,81.5,0,0,5,0,198.351791192237,31779.0145979537,204.549080949003
5,1,6,0,0,19.8,79.4,56043.2186131914,0,0,0,192.25562968907,56043.2186131914,201.221091411467
5,1,6,0,30,19.6,79.4,53480.6231554098,0,0,0,192.730965809502,53480.6231554098,201.47755422193
5,1,6,1,0,19.4,79.5,51345.4333436711,0,0,0,195.341330637836,51345.4333436711,202.302603239109
5,1,6,1,30,19.2,79.5,48713.1843627475,0,0,0,194.295039819213,48713.1843627475,202.879990568108
5,1,6,2,0,19,79.5,40374.0447575255,0,0,0,194.372665875857,40374.0447575255,203.395326855152
5,1,6,2,30,18.7,79.6,34153.7194664522,0,0,0,196.268693196105,34153.7194664522,203.888604981726
5,1,6,3,0,18.2,79.8,20393.4937423425,0,0,0,196.901170009685,20393.4937423425,204.157236088316
5,1,6,3,30,17.8,79.9,14401.2870116181,0,0,0,199.914711202764,14401.2870116181,204.787179891026
