ID,Day,Month,Hour,Minutes,lat,lon,Area,SplitParentID,MergeParentID, MergeChldArea,MinT,CoreArea,AvgT
1,1,6,0,0,-8.6,63.7,86666.598749309,0,0,0,191.402531061956,86666.598749309,201.704267450032
1,1,6,0,30,-8.7,63.8,85564.4832667942,0,0,0,194.348413418135,85564.4832667942,202.183184954477
1,1,6,1,0,-8.7,63.6,86710.3253010891,0,0,0,196.034164428711,86710.3253010891,202.650694360457
1,1,6,1,30,-8.8,63.8,82398.6944347719,0,0,0,194.025808327752,82398.6944347719,202.716571674327
1,1,6,2,0,-8.9,63.9,61280.2785258368,0,0,0,196.710312059776,61280.2785258368,203.999173615328
1,1,6,2,30,-8.7,63,34108.0172766508,0,0,0,196.744624261921,34108.0172766508,204.307529905313
1,1,6,3,0,-8.6,62.1,13716.9489473688,0,0,0,202.202715784301,13716.9489473688,206.339819212399
1,1,6,3,30,-8.6,62.1,0,0,0,0,202.202715784301,13716.9489473688,206.339819212399
2,1,6,0,0,-4.5,96.4,2191.96632593248,0,0,0,203.581795161911,2191.96632593248,205.49520430702
2,1,6,0,30,-4.5,96.4,0,0,0,0,203.581795161911,2191.96632593248,205.49520430702
3,1,6,0,0,-4.1,66.2,5509.11685717559,0,0,0,201.495877311661,5509.11685717559,205.315075862172
3,1,6,0,30,-4,66.1,2902.68949636819,0,0,0,205.163664800091,2902.68949636819,207.019167805274
3,1,6,1,0,-4,66.1,0,0,0,0,205.163664800091,2902.68949636819,207.019167805274
4,1,6,0,0,-3.7,94.7,25262.7439620025,0,0,0,194.213762117766,25262.7439620025,203.44744844517
4,1,6,0,30,-3.7,94.2,18559.9342529674,0,0,0,196.868425808508,18559.9342529674,202.848429880493
4,1,6,1,0,-3.8,94.1,19647.9973736749,0,0,0,195.922069540813,19647.9973736749,203.358081052361
4,1,6,1,30,-4,94.2,24754.4138797978,0,0,0,194.181901826825,24754.4138797978,203.57602894185
4,1,6,2,0,-4.6,94.6,12683.1836529293,0,0,0,196.592617077153,12683.1836529293,201.888353848084
4,1,6,2,30,-4.7,94.3,17541.5879499814,0,0,0,195.032734110312,17541.5879499814,201.484627171192
4,1,6,3,0,-4.8,94.2,21932.0181754937,0,0,0,195.167877197266,21932.0181754937,202.096820961552
4,1,6,3,30,-5,94.1,23708.6873105526,0,0,0,197.386040304101,23708.6873105526,202.912107528552
4,1,6,4,0,-5.2,93.8,24079.3663441468,0,0,0,195.655801265365,24079.3663441468,203.155922782624
4,1,6,4,30,-5.4,93.6,22448.8292067049,0,0,0,196.538600643944,22448.8292067049,204.003149091278
4,1,6,5,0,-5.4,93.4,17480.8885102561,0,0,0,197.131625764359,17480.8885102561,205.067102567698
4,1,6,5,30,-5.8,92.7,6737.96450664174,0,0,0,201.46792407217,6737.96450664174,205.021721776645
4,1,6,6,0,-5.7,92.6,4080.73408571662,0,0,0,199.599796217329,4080.73408571662,205.188434607338
4,1,6,6,30,-5.8,92.5,2661.89518545835,0,0,0,201.053280410919,2661.89518545835,205.106459357478
4,1,6,7,0,-5.8,92.5,0,0,0,0,201.053280410919,2661.89518545835,205.106459357478
5,1,6,0,0,-2.8,66.1,18652.1710170682,0,0,0,200.367218160111,18652.1710170682,205.364209109021
5,1,6,0,30,-2.7,66.2,14783.267534651,0,0,0,200.352375514856,14783.267534651,205.475157832568
5,1,6,1,0,-2.6,66.4,10016.546074461,0,0,0,200.450203547036,10016.546074461,205.361620795522
5,1,6,1,30,-2.6,66.8,13692.2722991198,0,0,0,199.919053709059,13692.2722991198,205.280388379866
5,1,6,2,0,-2.4,67,9322.26635132843,0,0,0,202.523593693756,9322.26635132843,205.572308738998
5,1,6,2,30,-2.4,67.3,10035.2560321683,0,0,0,200.743255680917,10035.2560321683,206.238535820053
5,1,6,3,0,-2.6,67.8,5323.80686855362,0,0,0,202.757946907071,5323.80686855362,205.750035385645
5,1,6,3,30,-2.6,67.8,4850.85779930068,0,0,0,204.371959029057,4850.85779930068,206.461654566017
5,1,6,4,0,-2.6,67.9,4556.32141135749,0,0,0,203.535756376781,4556.32141135749,206.042414009353
5,1,6,4,30,-2.5,67.9,2846.97190211215,0,0,0,204.465647873826,2846.97190211215,206.195812924114
5,1,6,5,0,-2.4,68,2315.03153172848,0,0,0,205.611107337649,2315.03153172848,206.985317982817
5,1,6,5,30,-2.4,68,0,0,0,0,205.611107337649,2315.03153172848,206.985317982817
6,1,6,0,0,3,79.2,6332.03860104709,0,0,0,204.770193379264,6332.03860104709,206.553871525716
6,1,6,0,30,3,79.2,0,0,0,0,204.770193379264,6332.03860104709,206.553871525716
7,1,6,0,0,3.6,90,7589.83893994027,0,0,0,201.612587613509,7589.83893994027,205.667489391526
7,1,6,0,30,3.7,90.4,4725.19123137303,0,0,0,203.383621638645,4725.19123137303,206.696528302844
7,1,6,1,0,3.8,90.5,2556.18767166129,0,0,0,205.185819506121,2556.18767166129,206.971704731937
7,1,6,1,30,3.8,90.5,0,0,0,0,205.185819506121,2556.18767166129,206.971704731937
8,1,6,0,0,4.1,76.9,25830.3879351666,0,0,0,197.026140179329,25830.3879351666,203.181193737424
8,1,6,0,30,4.1,76.8,33534.4798896076,0,0,0,197.48452573335,33534.4798896076,203.10387913939
8,1,6,1,0,4.1,76.7,41665.8350138868,0,0,0,195.964763265197,41665.8350138868,202.888760707016
8,1,6,1,30,4.1,76.7,45944.0209997551,0,0,0,195.471678535694,45944.0209997551,202.470997184282
8,1,6,2,0,4.2,76.6,40718.3750989798,0,0,0,196.191501129445,40718.3750989798,203.346050851179
8,1,6,2,30,4.2,76.5,38662.7896438966,0,0,0,195.55627094832,38662.7896438966,202.957777639764
8,1,6,3,0,4.3,76.3,41120.5276358929,0,0,0,195.338787486825,41120.5276358929,203.089185977167
8,1,6,3,30,4.3,76.2,35089.0573066812,0,0,0,197.301345935024,35089.0573066812,203.018040000234
8,1,6,4,0,4.2,76.1,38184.3711308843,0,0,0,197.681539186694,38184.3711308843,203.128525572898
8,1,6,4,30,4.1,75.8,35842.0754057959,0,0,0,199.208289349752,35842.0754057959,204.350519341637
