ID,Day,Month,Hour,Minutes,lat,lon,Area,SplitParentID,MergeParentID, MergeChldArea,MinT,CoreArea,AvgT
1,1,6,0,30,0.7,61.3,12596.0851334561,0,0,0,197.990175021284,12596.0851334561,203.943263627478
1,1,6,1,0,0.6,61.2,13133.4295518508,0,0,0,200.810282573018,13133.4295518508,204.884143237115
1,1,6,1,30,0.4,61.1,10709.4296910014,0,0,0,201.088658496447,10709.4296910014,205.740212211957
1,1,6,2,0,0.2,61.1,4355.98668531649,0,0,0,203.163874998735,4355.98668531649,206.165874553614
1,1,6,2,30,0.2,61.1,0,0,0,0,203.163874998735,4355.98668531649,206.165874553614
2,1,6,0,30,3.5,63.8,51394.9089773716,0,0,0,193.535680816889,51394.9089773716,202.354250590825
2,1,6,1,0,3.4,63.7,56667.4734425757,0,0,0,193.39870546707,56667.4734425757,202.755433158316
2,1,6,1,30,3.4,63.5,56269.9080244569,0,0,0,193.33116569478,56269.9080244569,203.242280029493
2,1,6,2,0,2.6,63.5,30169.9052962368,0,0,0,194.236680434062,30169.9052962368,202.882840005918
2,1,6,2,30,3.2,63.3,51948.9093241589,0,0,24067.9906239835,192.219236090451,51948.9093241589,202.538756094438
2,1,6,3,0,3.1,63.2,44913.5425618691,0,0,0,192.906218714751,44913.5425618691,201.873112029875
2,1,6,3,30,2.4,63.4,33169.3794775262,0,0,0,193.390713531672,33169.3794775262,201.22087578598
2,1,6,4,0,3.1,63,59167.884492379,0,0,19635.903776245,194.193973668297,59167.884492379,202.048939288873
2,1,6,4,30,3.1,62.8,61474.842027007,0,0,0,193.376804251137,61474.842027007,202.614185340152
2,1,6,5,0,3.4,62.6,59319.9440159158,0,0,0,194.581375284635,59319.9440159158,203.119423505734
2,1,6,5,30,3.9,62.2,72102.2858521375,0,0,14823.3471203118,195.408455501247,72102.2858521375,203.460624240063
2,1,6,6,0,3.5,62.2,46199.0092287344,0,0,0,197.590504739449,46199.0092287344,204.255787656091
2,1,6,6,30,3.4,62.2,33047.0684370519,0,0,0,197.420086036483,33047.0684370519,205.038445591354
2,1,6,7,0,3,62,15658.9575912816,0,0,0,198.691753170577,15658.9575912816,205.619375982648
2,1,6,7,30,3,61.9,7477.12055842768,0,0,0,200.490805806905,7477.12055842768,206.214664315915
2,1,6,8,0,3,61.9,0,0,0,0,200.490805806905,7477.12055842768,206.214664315915
3,1,6,0,30,5.6,87.5,30978.2025687521,0,0,0,197.946222996065,30978.2025687521,203.691599096197
3,1,6,1,0,5.8,87.6,26711.6334499836,0,0,0,196.28254699707,26711.6334499836,203.995225154783
3,1,6,1,30,5.8,87.5,18258.5255071159,0,0,0,199.069473266602,18258.5255071159,204.444468688523
3,1,6,2,0,5.8,87.5,12850.7086436018,0,0,0,202.05330600826,12850.7086436018,205.220822796598
3,1,6,2,30,6,87.4,8750.6966703176,0,0,0,203.558604686696,8750.6966703176,206.059976679921
3,1,6,3,0,6,87.4,0,0,0,0,203.558604686696,8750.6966703176,206.059976679921
4,1,6,0,30,7.3,92.5,22990.8559325758,0,0,0,194.793069178061,22990.8559325758,201.979447578682
4,1,6,1,0,7.4,92.5,24259.7894928053,0,0,0,195.927688341815,24259.7894928053,202.54886188279
4,1,6,1,30,7.4,92.5,24215.3875960125,0,0,0,196.104288412256,24215.3875960125,203.148265033849
4,1,6,2,0,7.7,92.5,23991.2074561726,0,0,0,197.923003969751,23991.2074561726,202.84370164707
4,1,6,2,30,7.8,92.4,27584.9198043195,0,0,0,195.299239943866,27584.9198043195,202.096534340704
4,1,6,3,0,7.8,92.3,28790.1766930391,0,0,0,196.217454955865,28790.1766930391,203.466313783643
4,1,6,3,30,7.9,92.2,28813.6614003603,0,0,0,198.835700549569,28813.6614003603,204.337081883487
4,1,6,4,0,8.5,92.6,13875.8569225809,0,0,0,199.520360254651,13875.8569225809,204.335066514235
4,1,6,4,30,8.6,92.6,11281.5839082647,0,0,0,201.948406606934,11281.5839082647,205.142692023843
4,1,6,5,0,8.6,92.6,0,0,0,0,201.948406606934,11281.5839082647,205.142692023843
5,1,6,0,30,11.1,73.6,45775.3050423884,0,0,0,192.322515269379,45775.3050423884,202.374325968666
5,1,6,1,0,11.1,73.4,44957.2644601942,0,0,0,191.200678334213,44957.2644601942,201.729700352918
5,1,6,1,30,11.1,73.3,45153.1842834355,0,0,0,194.765882562794,45153.1842834355,202.115368102675
5,1,6,2,0,11.1,73.2,43127.0544018679,0,0,0,195.100555998898,43127.0544018679,202.378763780208
5,1,6,2,30,11.2,73,44499.4298083627,0,0,0,194.393160459085,44499.4298083627,202.605698042776
5,1,6,3,0,11.2,72.9,40624.7297557964,0,0,0,194.296891968814,40624.7297557964,203.319536923472
5,1,6,3,30,11.2,72.6,36476.4760602374,0,0,0,196.691377486823,36476.4760602374,203.566437663959
5,1,6,4,0,11.3,72.4,36435.1866705501,0,0,0,197.830228105955,36435.1866705501,203.473622443971
5,1,6,4,30,11.4,72.2,34766.2048322663,0,0,0,197.22767918686,34766.2048322663,203.125786974988
5,1,6,5,0,11.6,72.1,33031.2092515607,0,0,0,198.943686123681,33031.2092515607,203.818151596981
5,1,6,5,30,11.6,71.9,30025.4976298937,0,0,0,199.575450305807,30025.4976298937,204.039383752265
5,1,6,6,0,11.7,71.8,23691.0961742396,0,0,0,199.764992019826,23691.0961742396,204.691737762542
5,1,6,6,30,11.8,71.7,15106.1583362087,0,0,0,199.920343799503,15106.1583362087,205.358285296655
5,1,6,7,0,12,71.4,7796.47400720799,0,0,0,202.223635743874,7796.47400720799,205.824206147425
5,1,6,7,30,12,71.4,4035.53333691734,0,0,0,204.959913807624,4035.53333691734,206.756201206237
5,1,6,8,0,12,71.4,0,0,0,0,204.959913807624,4035.53333691734,206.756201206237
6,1,6,1,0,6.5,97,2165.3852912988,0,0,0,205.542220992276,2165.3852912988,206.984780049346
6,1,6,1,30,6.5,97,0,0,0,0,205.542220992276,2165.3852912988,206.984780049346
7,1,6,2,0,2.2,64.7,4833.51856368602,2,0,0,203.337661672574,4833.51856368602,205.991396598036
7,1,6,2,30,2.2,64.7,0,2,2,0,203.337661672574,4833.51856368602,205.991396598036
8,1,6,2,0,4.8,63.2,19234.4720602975,2,0,0,194.321936004302,19234.4720602975,203.631882783387
8,1,6,2,30,4.7,63.8,2839.40372672237,2,0,0,200.625530887511,2839.40372672237,205.505665194786
8,1,6,3,0,4.7,63.8,0,2,0,0,200.625530887511,2839.40372672237,205.505665194786
9,1,6,3,30,4.6,62.6,19635.903776245,2,0,0,196.773694536318,19635.903776245,203.067170060107
9,1,6,4,0,4.6,62.6,0,2,2,0,196.773694536318,19635.903776245,203.067170060107
10,1,6,3,30,6.2,61,4188.84504670779,0,0,0,198.14260577351,4188.84504670779,204.460369361142
10,1,6,4,0,6.2,60.9,8182.72553675958,0,0,0,198.688244507024,8182.72553675958,203.012950257086
10,1,6,4,30,6.3,60.8,13296.5131766621,0,0,0,197.190543436925,13296.5131766621,202.119869067904
10,1,6,5,0,6.5,60.7,14823.3471203118,0,0,0,198.528180076346,14823.3471203118,203.063136525411
10,1,6,5,30,6.5,60.7,0,0,2,0,198.528180076346,14823.3471203118,203.063136525411
11,1,6,4,0,7.3,91.6,10105.8571456782,4,0,0,200.25579794442,10105.8571456782,205.198886197451
11,1,6,4,30,7.4,91.5,5424.15107934429,4,0,0,201.914521855511,5424.15107934429,205.67858460036
11,1,6,5,0,7.8,91.7,2254.5448888334,4,0,0,204.083247099105,2254.5448888334,206.471453711271
